mse,ci,rm2
0.9735180574512116,0.7024928721412653,0.03536034698980194
0.5976945403242231,0.7316992539510766,0.24368970035201049
0.5421817128529639,0.7540889996541027,0.31219921738323253
0.5151111017187299,0.7667785508030701,0.3469226459354579
0.4884794630194152,0.7767857655978381,0.3796517048808857
0.4745840036588386,0.7801182556080084,0.39876739256868193
0.466230575244344,0.795262374898603,0.410398388021314
0.44414425230416077,0.7986675902072023,0.43906593361179747
0.420062496428093,0.8117375670357796,0.46974385496733684
0.4038620002255366,0.8118489562219651,0.4910174863767592
0.39264765151808584,0.8173297522565077,0.5038014109225079
0.37739373298900913,0.8190246107830622,0.5237107477014188
0.37330486987088435,0.8239218559266441,0.5290309086029285
0.35308978143803454,0.8308031113062172,0.5540027782879842
0.34687260897344163,0.8357010890493178,0.5631852422261373
0.3459555541600914,0.829865213362011,0.5632266627345308
0.3399651128286823,0.8343010507535241,0.5703702766314178
0.33327279652807684,0.8408006624629506,0.5790657844127515
0.3212637101242385,0.844305375749602,0.5941501592978606
0.3156474246182957,0.8478562210109974,0.6008469660479319
0.30882801907711377,0.8490167611960009,0.6102340686075765
0.30007632268173823,0.8522372017409681,0.6208020576688044
0.29283792552456794,0.8532631285749706,0.6317439941959743
0.2926892124791738,0.8581364490348953,0.629552360928361
0.28548957669983105,0.8595058655568241,0.6407763408046068
0.2790834389566831,0.8597179826684836,0.6472743136008848
0.2814514437414893,0.8612027927861233,0.6459534842047656
0.2767544616850843,0.8634205059840692,0.6511285940850573
0.26646893509738306,0.8665009380524387,0.6645898736687071
0.2649642787790376,0.8681193421821185,0.6671697532995097
0.25842483935931565,0.8677302273729568,0.6740216993786635
0.2524435239360749,0.8715100671629764,0.6825766360113589
0.24962776170108172,0.876364407289957,0.685552373048168
0.24296688677686915,0.8752583666234017,0.694995759048023
0.24967739540680411,0.8734552981743107,0.686391112935785
0.24112494003004714,0.8754545820839126,0.6970217402134156
0.24219859680378328,0.8751943147669142,0.6935583811791763
0.23396120658114142,0.877875464938024,0.7056313759935663
0.22473717623777015,0.8825452721660794,0.7176655026435083
0.225759835243192,0.8826430024513219,0.7165860630115166
0.21791017525263398,0.8882693684228767,0.7263396829154618
0.21760363819187226,0.8843067171947329,0.72626889350146
0.20835810577844893,0.8882138688789146,0.7363670429315917
0.2108145592302587,0.880812820080077,0.7337896430459574
0.2043740684314634,0.8897579418689069,0.7423361398184493
0.2016928268178261,0.8895365336243523,0.7468496293986189
0.19753753929773932,0.8925618029023578,0.7506897725926791
0.1941612104056738,0.8918019337637235,0.7557069131219359
0.1951991070939391,0.889216637162564,0.7540473277555723
0.18980049746109445,0.8935064396839578,0.7608362683059463
0.18266709067282896,0.8972602431797254,0.7702549560953512
0.18083503585373467,0.8974802157043031,0.7721131766322574
0.18090857457952503,0.8983315522638213,0.7708652581493123
0.17550742086162566,0.8958384538396104,0.7789259134043702
0.17327354283290478,0.9000037673322786,0.7809867028643219
0.16955092415116257,0.8999233310605019,0.7861787833270328
0.16793479384898768,0.9009633857363794,0.7883810434509975
0.16377200162436303,0.9019496425125437,0.7927681692290439
0.16101408473310239,0.9029722551183702,0.7952075994875063
0.15816653984170823,0.9055609247299731,0.8000565961890426
0.1541871285396683,0.9049298259580834,0.8060680617697205
0.15416944187956338,0.9075425219251134,0.8061648550708201
0.15295103294782164,0.9075741557739649,0.807220481529819
0.14814923662431478,0.9110041223865697,0.8139293642050897
0.14750576636939608,0.9115022883490966,0.8137318769769286
0.1465670935853129,0.9108467863975873,0.815027551803185
0.13970822168164826,0.9123194864361821,0.8242320235846389
0.1409574318716579,0.9114837450965236,0.8216125888937937
0.14041211076936752,0.9115379114760709,0.8216357563143273
0.1327169456775776,0.9197088560346077,0.8325479429781183
0.13448999635898712,0.9160052350378207,0.8300914843753351
0.13076762464833594,0.9200301622577903,0.8346151439579603
0.12690873980919692,0.919102924750407,0.8398902464535939
0.1262683345647568,0.9204495755864783,0.8398181839678196
0.1226714831915539,0.9212985984572963,0.8452793278493613
0.12243100210260499,0.9234130732873214,0.844643105179223
0.12166409623914064,0.9238934039557122,0.8456112399793585
0.11774998457781903,0.925884899078953,0.8511216437329493
0.11258867545845892,0.9274663782154758,0.8573471678713064
0.11286901824290917,0.9244298840497068,0.8566738008478998
0.10904406722766423,0.928707736675356,0.862660451366751
0.10741877888541815,0.9316156167183768,0.861339080515638
0.10489616968828236,0.9288609844021921,0.8682913069205889
0.10279481973264445,0.9310874798471103,0.8702331777191776
0.10060117975011824,0.9324846371792659,0.8720261880446457
0.10040067759858431,0.9313174202417339,0.8708718914756003
0.09941667385954522,0.9355563848256051,0.8728746853533653
0.09648708751690985,0.9362870514401558,0.8786664410491841
0.09549023432257478,0.9381614688702518,0.8760035693909021
0.09477653652841746,0.9378696543562425,0.8785146093794362
0.09322824483233665,0.9378577260519118,0.8828169962849927
0.09089556202994824,0.9382928321674512,0.8829788418374521
0.09152722608057322,0.9397248681233583,0.8830988287995846
0.08997389258502714,0.9410283874035247,0.8828254106346186
0.08749248548640431,0.9430412843425224,0.8883925199859641
0.08781527339807119,0.9421129557049172,0.8873702766286743
0.08568543166811743,0.9417540004158722,0.8893537241078611
0.08869353166741803,0.9407897096740243,0.8855782161076969
0.08780098323580002,0.943226851030024,0.8869460968773863
0.08625788804817655,0.943211994949699,0.8875911368866743
0.08437086587553691,0.944843814547256,0.8902066807343735
0.08185599563168088,0.9434780592819327,0.893919778765707
0.08085145627069801,0.9459171230420242,0.8967208776389742
0.08380245703982409,0.9445911884764073,0.8908938749301788
0.08096592334538288,0.9461105331992911,0.8958710369072566
0.08226226033507905,0.9462134415044589,0.891010636331234
0.07777141789153995,0.9472061858862022,0.9003372902974226
0.07666758725467428,0.9504474751287868,0.901210212547347
0.07675893752914591,0.9513525983573476,0.9004469960716993
0.07470353292473055,0.9504326639330327,0.902825184063714
0.07213774863738522,0.9514167572189748,0.9048370638127137
0.06984595989350195,0.9525080664339066,0.9098519375976388
0.07253084373627258,0.9510747197191882,0.9058649345113063
0.07099978202865607,0.9538816210100302,0.9078389200553566
0.0697101815847862,0.9533095672034172,0.9070676640578496
0.06950337022857841,0.9543624292136769,0.9094233156109301
0.06916436960002059,0.9549841139164643,0.910534827140724
0.07056400007734116,0.9547892077076303,0.9063734916400781
0.07003961590036875,0.9536607538207403,0.9078204163770077
0.06723404391746858,0.9559983173948953,0.9128592578216279
0.06703276720865856,0.9547697719654851,0.9129509956428186
0.06597217009263003,0.956930642527779,0.9133591851782967
0.06616261192657397,0.9544035781796663,0.9114469849719515
0.06634882980221667,0.9578453787019923,0.9139227344665295
0.06420958254195748,0.9576200518276139,0.9159782328296725
0.0640664764238809,0.9561851966862916,0.915526281469455
0.06546274107804839,0.9573943171064553,0.9149521674037413
0.06437880809249422,0.958213704249429,0.9161068731323907
