epoch,train_mse,train_ci,train_r2m,valid_mse,valid_ci,valid_r2m
1,0.9628707033230233,0.6901837438910423,0.041918619454809104,0.6000998917978071,0.7394085401396485,0.27517102562720414
2,0.6140650410766582,0.7232683931127613,0.22377122740263805,0.5554138671004312,0.7625952974485177,0.3086235564601558
3,0.5618614987433759,0.7436896907430435,0.28846170171567687,0.5228752600903857,0.754923664595503,0.3689384564467809
4,0.5292595853508619,0.7590201734424833,0.32973880998958227,0.617868400988942,0.7735938145023981,0.338902783545888
5,0.518577345468851,0.7744830922306726,0.3439115132628111,0.5347903050905403,0.777471266811595,0.3827684095611984
6,0.5021875269002378,0.7816039178975153,0.36619290472412924,0.4916401407277723,0.7848669512080607,0.39096675051026936
7,0.4856927811919266,0.7896604947093349,0.3867490886896306,0.5010855929421025,0.7891691781076757,0.38122479956613353
8,0.4657964994481557,0.801588081727004,0.4120373644833689,0.44629647058659844,0.7918276735108971,0.4513237081573895
9,0.43944244315431985,0.8011734231489548,0.4456156388355021,0.4469229690908445,0.7969014930450359,0.43564734407085587
10,0.4225808400912849,0.8049123947309824,0.46816434386883005,0.45134507180559974,0.8027119133548423,0.41615863683203796
11,0.40946653281022105,0.8127696884061568,0.48353159740648405,0.40323420634851126,0.8027398182549427,0.5110315257344558
12,0.39974970524934367,0.8146964678453317,0.49577927332623917,0.41212920105163,0.8024293208744598,0.48958191225714875
13,0.3938431864166596,0.8136069516570128,0.5039218591160496,0.38941862155886287,0.8085542249790492,0.5180968590846384
14,0.38603169053243974,0.8198455374301644,0.5136302113643684,0.39727731553287465,0.8058066996564597,0.4914187678249921
15,0.3752639408043882,0.8201047001073613,0.5287279210351239,0.3850143086376839,0.8117588591413795,0.5208393273285783
16,0.36427229687146834,0.820450747508111,0.5411470902989467,0.36821463050536046,0.8186057471692029,0.5544987807508592
17,0.35011845293693145,0.8262973559204535,0.5603332523558887,0.37296399371560063,0.8185273476879683,0.544661958805812
18,0.34807492513452887,0.8276088575362007,0.5613654735885221,0.3607103599944181,0.8245889120986788,0.5485842166360921
19,0.33784033726140417,0.8378586355765211,0.5740994006916927,0.35141857568904133,0.8274099646183584,0.5665634215624362
20,0.329673612913707,0.8405856371976441,0.5847474735441347,0.39652297657066554,0.8179927252368373,0.5449712451947422
21,0.33186558362670576,0.8352051119897691,0.5819234366393574,0.34820650103228684,0.8329532951700604,0.5588773678379781
22,0.32802476006886694,0.8382942684323751,0.5867460977064313,0.3433502282406577,0.8303041014002058,0.5777197355606194
23,0.324745104014078,0.8442775596664917,0.5914754655168818,0.35725716956395387,0.8378552559543742,0.5221476094502046
24,0.3197238835730392,0.848979676046974,0.596967838513041,0.35923933244004075,0.8179564045732145,0.5576151558130774
25,0.31213491255292314,0.8505832832514189,0.6077227473440252,0.3406883164231987,0.834172252076036,0.5810575538391648
26,0.30680472923129787,0.8484603810984961,0.6131724563981975,0.3370379398820412,0.824681928432347,0.5607444712344809
27,0.30432038762798697,0.8508738581393905,0.616573092311854,0.3321017778408125,0.8353641899517555,0.5907103119022388
28,0.2894123772973263,0.8556863471578886,0.6363348965397888,0.3671128017760083,0.8276044130492172,0.5767536584898926
29,0.29585241850530875,0.8499465334147048,0.6274287091438887,0.32507289335603096,0.8400916343767109,0.5909871304356558
30,0.2888395108149212,0.8543216047516056,0.6364969389175539,0.3258413423966528,0.8454768371611769,0.5816687286599517
31,0.2872007989718835,0.8607321295144372,0.6389614421932577,0.3286981627310851,0.8423107383370806,0.5584832042502194
32,0.28272670120048815,0.8610973024041056,0.6447361825394117,0.33217005402456307,0.8345088826169303,0.5806166381666736
33,0.27515108542513744,0.8616044159125217,0.6542950108606268,0.32438217439774164,0.8431753473052725,0.5776877756396916
34,0.2792247144025446,0.8612858931185912,0.6476646847845542,0.33422858913744186,0.8350590077903394,0.5759372314230872
35,0.27591434111328567,0.8615639485868042,0.6533680252706477,0.35148001619280844,0.834851714246736,0.5836002749659102
36,0.2702947161495098,0.860143438413305,0.6603948034734715,0.3127130243292226,0.8500935478555749,0.6178008611764187
37,0.26380710720907746,0.8665473641809303,0.6676856580171314,0.31425685451956575,0.8455211306533998,0.572529424145177
38,0.2595387371504627,0.8673252053238822,0.6740223362242252,0.3147563655497332,0.8496475123888898,0.5655733971549577
39,0.26009333216010316,0.8684622750786846,0.6724598242325331,0.3103707066799232,0.8390374492618047,0.6126890932322524
40,0.25298126988699127,0.8693119384291934,0.6811868689569722,0.3093699004468673,0.8463246146023242,0.6221499034761426
41,0.25188653712628456,0.8698230176170182,0.6838583574764464,0.3264753409219864,0.8382605414082142,0.5967018546762743
42,0.2555062532987117,0.86983025564627,0.6788007785576624,0.30841646645254917,0.8530829156457017,0.6027653907511128
43,0.2500443795630594,0.868005464487881,0.6858716443697283,0.30476341453096945,0.8477991449584261,0.6158887416519604
44,0.24129151215798328,0.8716614481108005,0.6953896049234201,0.2948710871717305,0.8526439671377722,0.6105838737343854
45,0.236841768575379,0.8749798637384971,0.7000382643170657,0.2969629910836863,0.852282532241233,0.6010672839942388
46,0.2392513709311245,0.8739225428298798,0.6988539257594063,0.28282504519593676,0.8592857762966034,0.619814786234304
47,0.23856982157151285,0.8733274218879289,0.6998166444877946,0.2893562674243369,0.8566538569887158,0.6370498123981729
48,0.23623965259689458,0.8749370873972602,0.7026904660776637,0.2913117614521379,0.8459782394931407,0.643042006861897
49,0.2317292145400687,0.8756410007820543,0.7058371910885843,0.2945230989487753,0.8491173192869811,0.5923329829312793
50,0.23128773521993207,0.8738407741324855,0.7089191188055455,0.2813793742161834,0.8606960810889821,0.6573874915622976
51,0.22491243382999088,0.873162022353078,0.716152943333948,0.28800759657503294,0.8489893110944567,0.6334190294917539
52,0.2281741965414477,0.8736006410429994,0.7125579018876756,0.2865931779777905,0.8583091047930874,0.6568181599890134
53,0.21996353871154056,0.8806882742824177,0.7218242690773885,0.3242323154600123,0.8352818040562209,0.6267459282279293
54,0.21828737628936667,0.8820422638546637,0.7242652831685079,0.27217797758155515,0.861464130244128,0.6646643628646395
55,0.213137651997718,0.8821640713553639,0.7285647437473626,0.2728069131750418,0.8559752806878602,0.6368761187144798
56,0.2102042420324027,0.8836308737662096,0.7340012700127948,0.2838356738447063,0.857868384545469,0.5948155667154296
57,0.21095168384369445,0.8869651723779303,0.733907039266291,0.2745218408200766,0.8656480935195078,0.6511721012878907
58,0.20523825797543965,0.8854559495631937,0.7397088281317148,0.27741991648330505,0.8614255949058941,0.6552039805117478
59,0.20178239965270112,0.8869211258630328,0.7466961424865368,0.2726989782195874,0.8533725950848398,0.651581351930812
60,0.200123904165814,0.8877636653949611,0.7468430679369515,0.26940407357396884,0.865106384109621,0.6405644455177013
61,0.19974964139892898,0.8873380939906547,0.7478555177883051,0.2744768951894032,0.8538793126358702,0.6514331840784285
62,0.1996382434528016,0.8880788929773661,0.7446343546972484,0.26750105870220126,0.8564859846531908,0.6475928075775955
63,0.1990388564173834,0.8866427368882795,0.747706721826913,0.27787833235489323,0.8629957992051975,0.6283547601602557
64,0.1944125484660712,0.8888853726306754,0.7537228780162133,0.2643267054759381,0.8512633389851829,0.6569502637378222
65,0.19448707568077747,0.8884311756827266,0.753024337386364,0.2698213288891076,0.8558034219380352,0.630928063237137
66,0.1999616841074261,0.8891903974882556,0.7488521685650967,0.2643624045395221,0.8588109500599734,0.6676483017824764
67,0.1892583270806132,0.8913920998681895,0.7586992495398162,0.28487250189198443,0.8551957152247364,0.6158420147829186
68,0.18799483288041105,0.8923455874941152,0.7613179833130831,0.2621354042211719,0.8646851529985808,0.6540550848769489
69,0.1838678384661311,0.8902646955746558,0.7682189630213657,0.25826843504691577,0.8607669506765389,0.6631113629414745
70,0.18387710708486998,0.8913857778706619,0.7683517309450019,0.2679125177643868,0.8613976900057936,0.67429869366919
71,0.18225049086221567,0.8935231724929553,0.7701044688700166,0.2577272126402786,0.8649309818804182,0.6434647231794571
72,0.1870844474866911,0.8920108690265196,0.7632921609837165,0.272676866320537,0.863936592980013,0.6366306159628006
73,0.17789449010688282,0.8940179023196402,0.7750957885796866,0.2577292659626267,0.85893940118742,0.65133568317549
74,0.1777661717761297,0.8947732923036975,0.7731026494984625,0.26511655803716133,0.8675287951992942,0.6248416689618705
75,0.17581053821832557,0.8979928781020435,0.7777891923012299,0.2613399332751831,0.8652742564451461,0.6476585168594644
