mse,ci,rm2
0.9967801160958085,0.6878235766875296,0.03475023487287326
0.6225819325996118,0.7221535402581168,0.22929016133967947
0.5756981892424033,0.7353864098609545,0.28524530853151187
0.5330687167835413,0.7634618754442977,0.33788064553857655
0.5034042894385297,0.7700973933882633,0.3760134384733549
0.48673344238728133,0.7781156209514137,0.3962727788299012
0.4758227704942415,0.7888610753639032,0.41107135641689635
0.45144310325585657,0.7952658335570221,0.4416341814048292
0.4391568745037235,0.8042582377087222,0.456872430273027
0.4257377464649821,0.8049700019523941,0.47389534586877236
0.4098050051239161,0.8121433684130596,0.4938581541127817
0.403908406979025,0.81562374456965,0.5007638653074873
0.3899276136890214,0.8143085259341724,0.5183514900405073
0.3733244504667523,0.8225967787448686,0.5399264569591188
0.36425776330505044,0.8335481652128336,0.549249511422834
0.36266531531970303,0.8311849595320944,0.5524256598796216
0.35614687556815344,0.8390226572563404,0.5596647452399939
0.35091456010259386,0.8383397763920148,0.5671702180281307
0.3546021506360605,0.8336124772002274,0.5608301580367476
0.34708542144107785,0.8399881976301882,0.5707178039334415
0.3377120831578175,0.8434544987552857,0.5826464857767872
0.3286666058766889,0.8473580296808513,0.5932859464054947
0.3269953638144368,0.8461629667397474,0.595693819295427
0.32594775692370864,0.8463412517784228,0.5974334175668453
0.3135889961638352,0.8517210560248111,0.6118925808135122
0.308174957895139,0.8489806274521121,0.6195758674720926
0.31083792698529417,0.8518418659067022,0.6156229401827382
0.3029036662402681,0.8522414961898966,0.6268065505532241
0.3043809492076167,0.8561795953247047,0.6242685011589262
0.2966242715329421,0.8560280462984828,0.633635817982292
0.29138021939565706,0.8591729672679521,0.6408873988033033
0.2829866212182933,0.8607409671658373,0.6510373706798365
0.27827964363001795,0.8628340184816771,0.6578543622757184
0.2724585039965697,0.86596926707853,0.6639875520218473
0.2680324312070842,0.8636395826327651,0.6684834516746907
0.2606410679886844,0.8682424452788478,0.6780334345601425
0.25684646273547584,0.872679045791486,0.6830320921541269
0.25252671890253564,0.8729150372275656,0.6890200282321667
0.24825018573402555,0.8734704238694295,0.6936189591680415
0.24402914691748287,0.8766072314643983,0.6995803568873153
0.235225476894626,0.8760124826969352,0.710117191224133
0.2342916023473461,0.87848904653834,0.7098426949129474
0.22574196054718232,0.8811600382398603,0.7219659599114483
0.22018759006275274,0.8846819211318787,0.7290640529423773
0.21797069367367566,0.8862119138666531,0.7302380702638157
0.21730810965165667,0.8848318308351797,0.7324209234958422
0.2069714346758013,0.8914521857617186,0.7450374448841561
0.20786965780719666,0.885861585008573,0.7431884596055531
0.20192248417056513,0.8910253215319167,0.7507874414396608
0.204135870719491,0.8891618568260214,0.7487120535595491
0.1944851487782732,0.8916022898494861,0.7599516414051849
0.19270997337205859,0.8945851989572029,0.7616334002037995
0.19126024912377207,0.8994690377661335,0.7637215579325468
0.17908357212158904,0.8962839376989417,0.7790033170874642
0.18071213698360875,0.8987210208963953,0.7770336819746033
0.1785295500097139,0.9003491315249776,0.7798068945229572
0.16894530985089953,0.9040104721882978,0.791934506210933
0.16728096431923467,0.9064200796255427,0.7935606552483451
0.16634264448938935,0.9053881064410654,0.7946117178235953
0.16087792090112438,0.9062652032307834,0.8019019577780439
0.15547686374376768,0.9070277559902538,0.8074850666685803
0.1508659507876486,0.9116854326831905,0.8140727045781573
0.15096161548635925,0.9128348195541816,0.8136309378300498
0.14682325496355794,0.9154390589049861,0.8180320027877575
0.14545573929916109,0.9168632039078186,0.8192008040388448
0.14420649424953896,0.9153644770124783,0.8222263733643801
0.13819623005364462,0.917008577468656,0.829864614923791
0.14001554861494905,0.9164025229051159,0.8250008636791604
0.1334616093381869,0.9195009595589481,0.8352817275174393
0.1290564264630923,0.9224984573436682,0.8406980675991208
0.12787255887382948,0.9236740276963795,0.8425597599079182
0.12467119236708746,0.9253545249333495,0.8458111226625269
0.12219764898606858,0.9256559590852519,0.8474964916674647
0.12010495225897995,0.9262828622173992,0.8519245761123667
0.11990471079434038,0.9273702152933068,0.8508373984025912
0.11422338429637519,0.9298352955126996,0.8588251220975245
0.1147184981599169,0.9302348057698147,0.8579450760050717
0.109069036938748,0.9310940226720372,0.8637638743704021
0.10849208579974032,0.9320561151702895,0.8656989131690421
0.10957247432908247,0.9340440447946322,0.8621584893964263
0.10415592178627077,0.9327930676425538,0.8707706986092929
0.10542699524758885,0.9341133658922438,0.8678440829373231
0.10414891633170872,0.934061030021265,0.871085008378662
0.10092673764037349,0.9344315531166945,0.8746445462156579
0.09691059485703499,0.9388475387634988,0.8785943878066785
0.09632820879775018,0.9414511474134457,0.8790927699485619
0.09265285635575884,0.9396326886519262,0.8845203493296623
0.09306889157360618,0.9398778011138792,0.8840801224062783
0.09393457682009622,0.9414522758305119,0.8831499626260828
0.09070288344608238,0.9417024423470627,0.8855335994430538
0.08873348851144847,0.9440828046927282,0.8883883211641347
0.09002110671732419,0.9431577746375474,0.8865650300761759
0.08720893198600833,0.9426616049469403,0.8903153463355148
0.08859069591927236,0.943617243616916,0.889436515423034
0.09018928783781234,0.9430241393744261,0.886918602412551
0.08404140846112518,0.9448123008934857,0.895518347431613
0.08432369460649859,0.9474730557278515,0.8933685577958721
0.08080984946907056,0.9476322124732007,0.898607060124731
