mse,ci,rm2
0.9862436431085576,0.6962204956179913,0.031298897167198816
0.605306246094573,0.7224160830142071,0.23005960962167368
0.5571360101806698,0.7442203185770907,0.28980863923699934
0.5277538534530701,0.7568431508383756,0.32651898968164705
0.5067239582665302,0.7735696032488806,0.35495917332994675
0.4926003179709342,0.7805148401208072,0.3723518628717748
0.4760787535251242,0.7730074489311005,0.3954169723227791
0.45712919474951064,0.7795738617614765,0.4191546630448991
0.4495096697746828,0.7943853725186956,0.4279480036014277
0.4251294575664851,0.7998069914210272,0.46066833035319255
0.40782808846005664,0.7988438610312324,0.48214328709416937
0.4112565264980477,0.8067361651544046,0.47708224768768565
0.3954175252009858,0.8114630796266672,0.49761470665394547
0.38665790495946895,0.8130030994809592,0.5083649867202915
0.383049345538805,0.8109415294531737,0.5130657828247089
0.36892141029119047,0.819723023925496,0.5313529583995593
0.3552455986271579,0.8222686472444174,0.5484239367863841
0.35333863309358,0.8236711433399305,0.5512889321692743
0.3484864212549553,0.8251178580205574,0.5579661249868962
0.34500689512358695,0.8296642979897901,0.5618144439313063
0.34124574634887805,0.8326626041145282,0.5671705627552834
0.33858718641825036,0.8362549208468857,0.5692806971260178
0.33307262809180815,0.8402852832798845,0.5783249971003436
0.32938554927197333,0.8386037359904646,0.5820339155000054
0.3252669302634323,0.8430238988213516,0.5862549592422343
0.3269473109848143,0.8405801724099238,0.5857894505302091
0.3202400860039358,0.8446188326416464,0.5951473293797904
0.31687416010613595,0.8474385602586518,0.5970381677395781
0.30927251708419945,0.8483952396495106,0.6079948247693643
0.301434249635993,0.8521527581639012,0.6182348057364051
0.2990094937946743,0.8509986193263251,0.6204416629311004
0.2939096194548151,0.8548754620966222,0.6269932134897146
0.2876254677175759,0.855788584916076,0.636411702954389
0.28681029323827345,0.8588128753918765,0.6365158168866984
0.27969712336729424,0.8615080368394544,0.6464535331388431
0.27211002398854117,0.8662850325668792,0.6548557034503497
0.2616960425240695,0.8650912554510432,0.6692472592493954
0.2560297097972162,0.8658266381330205,0.6765577858577564
0.2552239994065391,0.8707579808301132,0.6772866526308252
0.24629736547361525,0.8698733393052425,0.6881687004234398
0.24564035059264377,0.8698375055088725,0.6881686504252221
0.24363144411090729,0.8713623288549853,0.6907130410451605
0.22909697820124886,0.8762140937817422,0.7093492425406004
0.23095503357865263,0.8761666265263177,0.7076060842116162
0.22481542865975299,0.8780741694663567,0.7150757599045635
0.21955645128050172,0.8812651153023339,0.7215400773600789
0.2149949064088211,0.8819195467763219,0.7273743217148292
0.20859473560366348,0.8863242151556988,0.7361342440584637
0.2047893771262322,0.8861598801298857,0.7393947543668793
0.19929603971417656,0.8893513071875749,0.7479677532467015
0.19535884066698678,0.8904581015310558,0.752325543380398
0.197724807745941,0.8912129335952804,0.7498730555584483
0.19385169267713875,0.892594372099688,0.7534107409371505
0.1874653991681192,0.8948636090277703,0.7620624650290787
0.18298088745958085,0.897353806667676,0.767158838302856
0.18190057900999906,0.8968600822539426,0.7688883952665051
0.17596661820674941,0.8997261456955041,0.7770377841543018
0.16880535546350203,0.904410491875166,0.7854128810518115
0.1668918597614221,0.9009452180364639,0.7890627093860286
0.16133958154493494,0.9051818027307174,0.7958656243722259
0.16673513934425258,0.9059558386977111,0.7882321936658532
0.1589441201424435,0.906821936379165,0.7977509588595296
