epoch,train_mse,train_ci,train_r2m,valid_mse,valid_ci,valid_r2m
1,0.9802400052202933,0.6834374183295796,0.03295250638744528,0.5929030283748883,0.742103799141415,0.2754381852779606
2,0.6101650764792331,0.7313307548301498,0.2287166903203122,0.5992392434697108,0.7607052941353645,0.28234762868478497
3,0.5570471555089911,0.7467103154499116,0.29544581262432973,0.5509945869415548,0.7779868430610701,0.33874878362116756
4,0.518703278253793,0.7713983416216377,0.3426797774041276,0.4994040746141245,0.7743122549462543,0.3856274560373198
5,0.49006216689812027,0.7844822214630953,0.37991207984969744,0.4640496600384949,0.7797306778498876,0.4341874428332355
6,0.4703622874035801,0.7867965623646827,0.40563689239060097,0.42964505514262447,0.7949804842873266,0.4729686263365386
7,0.4562543253110322,0.7953996670881887,0.4218230752238358,0.43634098144113986,0.8009468176897577,0.4699300126924242
8,0.43009176157348966,0.8065501425422107,0.4583249791096779,0.4395721336051351,0.7695002099511531,0.4537493680283291
9,0.41496605699118966,0.806861115276472,0.4759389068771047,0.3958617712789738,0.7962587944728808,0.5004548878207108
10,0.39421228803091174,0.8114224682769201,0.5026128065601314,0.4219599736801724,0.7987613767834775,0.4392826856520735
11,0.38256116258213485,0.8230126608982892,0.5152365645357623,0.4298944103784022,0.814186142515197,0.4792194966291199
12,0.3745726775908654,0.8288657870351634,0.5266320901912165,0.367178564335181,0.8195288235471292,0.5579956029469005
13,0.36832710889476616,0.8285910215713636,0.5364955423950151,0.394826481912192,0.8113212394382168,0.5290096190289124
14,0.3529423572577886,0.8282221031648713,0.553037881583941,0.35737641162872436,0.8202392911623853,0.5330123906424697
15,0.3440139706136915,0.8368716824330398,0.5656739029350258,0.3721453030489674,0.8253277275489576,0.5139389541934507
16,0.33169206754155606,0.8430220352990089,0.5815683544346419,0.36323931540175963,0.8227613626095599,0.51145524630822
17,0.3344350759189976,0.8399071859981383,0.5782440587653693,0.3836216509004999,0.8253153253711352,0.5233973788953257
18,0.32479440097627854,0.845488620711538,0.5899091836377524,0.3368892417885372,0.8306774955396453,0.5713772742903328
19,0.32356957061721464,0.8439224653546231,0.5899373261571547,0.3627695721464023,0.8301220551471695,0.5541462674644257
20,0.3147878991962884,0.8499565539985041,0.6036185746511795,0.3370123038572269,0.8314096669660906,0.5673448231762739
21,0.3037836791601867,0.8504708635052929,0.6158409421501327,0.338059171522359,0.8316829578131063,0.5445620027523695
22,0.29964114076942955,0.8519198411841367,0.6209256376137946,0.3491725864665118,0.8279255408678335,0.5502367255142083
23,0.2926360336686229,0.855121305463384,0.6305261478346137,0.34770508374018416,0.8386786719747987,0.5300779959369697
24,0.2887399296622775,0.8513913357685411,0.6343379306916199,0.31087558486603795,0.8459574215517959,0.5993653008653903
25,0.2788644633578489,0.858083584136437,0.648808396012114,0.3090438335562017,0.8399591968349642,0.6202966110765019
26,0.27370294738819895,0.8632045907111471,0.6551186874633653,0.3191548275165499,0.8407591373045107,0.6002211311616974
27,0.2685644487322604,0.8636565006426528,0.6617056891682868,0.3070194652997112,0.8517394940265797,0.5854846521997686
28,0.264271653782004,0.8643362325113466,0.6673062339008189,0.31807348770050103,0.833662876915472,0.5494214879072317
29,0.257273534551635,0.8687945182630229,0.6734702202933329,0.295273350863498,0.8511800672198038,0.6254908911322608
30,0.2555866216384413,0.8711462330159732,0.6770380431391715,0.3007041043976891,0.851784673388647,0.607678522060341
31,0.2523505669268239,0.871812048752154,0.6815449530999691,0.30509922108266463,0.8432993690834968,0.5939155227334066
