epoch,train_mse,train_ci,train_r2m,valid_mse,valid_ci,valid_r2m
1,0.9967801160958085,0.6878235766875296,0.03475023487287326,,,
2,0.6225819325996118,0.7221535402581168,0.22929016133967947,,,
3,0.5756981892424033,0.7353864098609545,0.28524530853151187,,,
4,0.5330687167835413,0.7634618754442977,0.33788064553857655,,,
5,0.5034042894385297,0.7700973933882633,0.3760134384733549,,,
6,0.48673344238728133,0.7781156209514137,0.3962727788299012,,,
7,0.4758227704942415,0.7888610753639032,0.41107135641689635,,,
8,0.45144310325585657,0.7952658335570221,0.4416341814048292,,,
9,0.4391568745037235,0.8042582377087222,0.456872430273027,,,
10,0.4257377464649821,0.8049700019523941,0.47389534586877236,,,
11,0.4098050051239161,0.8121433684130596,0.4938581541127817,,,
12,0.403908406979025,0.81562374456965,0.5007638653074873,,,
13,0.3899276136890214,0.8143085259341724,0.5183514900405073,,,
14,0.3733244504667523,0.8225967787448686,0.5399264569591188,,,
15,0.36425776330505044,0.8335481652128336,0.549249511422834,,,
16,0.36266531531970303,0.8311849595320944,0.5524256598796216,,,
17,0.35614687556815344,0.8390226572563404,0.5596647452399939,,,
18,0.35091456010259386,0.8383397763920148,0.5671702180281307,,,
19,0.3546021506360605,0.8336124772002274,0.5608301580367476,,,
20,0.34708542144107785,0.8399881976301882,0.5707178039334415,,,
21,0.3377120831578175,0.8434544987552857,0.5826464857767872,,,
22,0.3286666058766889,0.8473580296808513,0.5932859464054947,,,
23,0.3269953638144368,0.8461629667397474,0.595693819295427,,,
24,0.32594775692370864,0.8463412517784228,0.5974334175668453,,,
25,0.3135889961638352,0.8517210560248111,0.6118925808135122,,,
26,0.308174957895139,0.8489806274521121,0.6195758674720926,,,
27,0.31083792698529417,0.8518418659067022,0.6156229401827382,,,
28,0.3029036662402681,0.8522414961898966,0.6268065505532241,0.2984622657347094,0.844843852598007,0.5715964694681512
29,0.3043809492076167,0.8561795953247047,0.6242685011589262,0.3103733970299054,0.8513136152741599,0.5406303106295035
30,0.2966242715329421,0.8560280462984828,0.633635817982292,0.30839074750568285,0.8544443201743309,0.5465038711481015
31,0.29138021939565706,0.8591729672679521,0.6408873988033033,0.30294513340264223,0.8626512587760756,0.5406429083464261
32,0.2829866212182933,0.8607409671658373,0.6510373706798365,0.28746233169396845,0.8610565926096965,0.55493550175593
33,0.27827964363001795,0.8628340184816771,0.6578543622757184,0.29074235429491724,0.8639816505155606,0.5385045806916784
34,0.2724585039965697,0.86596926707853,0.6639875520218473,0.29254315552395366,0.8562067509939605,0.5412332501326385
35,0.2680324312070842,0.8636395826327651,0.6684834516746907,0.2821139357383744,0.8620090628991175,0.5637196812168446
36,0.2606410679886844,0.8682424452788478,0.6780334345601425,0.3167366358929537,0.8598741223924322,0.5147206757724715
37,0.25684646273547584,0.872679045791486,0.6830320921541269,0.27917770087994676,0.8584372993137884,0.5775444910281204
38,0.25252671890253564,0.8729150372275656,0.6890200282321667,0.2752229043103297,0.8625015333328523,0.5606349931913024
39,0.24825018573402555,0.8734704238694295,0.6936189591680415,0.2877626748988224,0.8619057884217134,0.5615444581733313
40,0.24402914691748287,0.8766072314643983,0.6995803568873153,0.3275162906972246,0.8601618477923615,0.5156008190370698
41,0.235225476894626,0.8760124826969352,0.710117191224133,0.25543703858540706,0.8689460411149675,0.5930222455488241
42,0.2342916023473461,0.87848904653834,0.7098426949129474,0.27029203278096436,0.8572106330319582,0.5721509938615161
43,0.22574196054718232,0.8811600382398603,0.7219659599114483,0.2783915850063102,0.8745287256380468,0.5472733399590443
44,0.22018759006275274,0.8846819211318787,0.7290640529423773,0.27486078812484666,0.8655339245383766,0.582569997786306
45,0.21797069367367566,0.8862119138666531,0.7302380702638157,0.24647505728891192,0.8780847049146023,0.6084178913488982
46,0.21730810965165667,0.8848318308351797,0.7324209234958422,0.25588294795940714,0.8670343358323652,0.5881081297768348
47,0.2069714346758013,0.8914521857617186,0.7450374448841561,0.2667824143645752,0.8551667905359088,0.5729612267687622
48,0.20786965780719666,0.885861585008573,0.7431884596055531,0.2522574117692859,0.8736926082532994,0.6055079183642039
49,0.20192248417056513,0.8910253215319167,0.7507874414396608,0.2556603810014697,0.8687205509896311,0.6169324402032151
50,0.204135870719491,0.8891618568260214,0.7487120535595491,0.252155834330727,0.8658162381752978,0.6273095725135669
51,0.1944851487782732,0.8916022898494861,0.7599516414051849,0.24537976367113376,0.861801611983808,0.625487889073098
52,0.19270997337205859,0.8945851989572029,0.7616334002037995,0.23841922720111708,0.8671926299003514,0.6254474419213508
53,0.19126024912377207,0.8994690377661335,0.7637215579325468,0.23717362763996522,0.8700739427219003,0.6372026266048534
54,0.17908357212158904,0.8962839376989417,0.7790033170874642,0.2428598544544861,0.8639004740704395,0.6221923393589448
55,0.18071213698360875,0.8987210208963953,0.7770336819746033,0.2666102383499943,0.869106590084207,0.5845034318334187
56,0.1785295500097139,0.9003491315249776,0.7798068945229572,0.22949798096541024,0.8728984320318645,0.6465716889573383
57,0.16894530985089953,0.9040104721882978,0.791934506210933,0.23637480969455543,0.8764855289457164,0.5942797712573102
58,0.16728096431923467,0.9064200796255427,0.7935606552483451,0.2326629340750154,0.876262744701884,0.6126024177053415
59,0.16634264448938935,0.9053881064410654,0.7946117178235953,0.23342184467343485,0.8757035291910497,0.608005736632806
60,0.16087792090112438,0.9062652032307834,0.8019019577780439,0.23004065269816343,0.8822598800753317,0.6301280712929015
