epoch,train_mse,train_ci,train_r2m,valid_mse,valid_ci,valid_r2m
1,0.9813324946254478,0.6948340494918648,0.03306963864392597,0.6120949479206269,0.7456025420921056,0.2622353511757945
2,0.6038729825482722,0.7309477789536553,0.23639758545732265,0.5242697136516336,0.7576543583910478,0.3725551375699341
3,0.5591575417281744,0.734015282926654,0.29188010954770255,0.4813483153551142,0.7804092541507431,0.3946926201140519
4,0.5225664383883203,0.755346458411983,0.3385868116278063,0.6169116821140753,0.7609179028980346,0.33885432724471254
5,0.5020177983983615,0.7668936071604765,0.3655560797115234,0.4616880588616063,0.7809385613828074,0.43851299596290866
6,0.48593995227764913,0.7786933970509545,0.3849032307597917,0.45744069567930684,0.7895102379977924,0.42493806990459576
7,0.4737827717174193,0.7870474488363776,0.40197331703095757,0.4860928329457888,0.7812703196395573,0.4187047047068326
8,0.4524824993561622,0.7894491532921629,0.4289072432325443,0.42006010143542777,0.7900550479521347,0.49256666288007506
9,0.4341222452819783,0.796633479183246,0.4524431339436286,0.40998131415733574,0.793541388725003,0.49694833492728097
10,0.4159216933098144,0.8053427313422966,0.47542254195663947,0.40680781702772434,0.8042232073094893,0.4618636412476144
11,0.4071178981115363,0.8047165104299723,0.48505048520680666,0.41613033941512606,0.8000782223072658,0.4737544673470222
12,0.39186624158883504,0.8116470789360114,0.5055469290458948,0.3873965069750448,0.805270748400562,0.5080435471458601
13,0.403425851511493,0.8151768838960367,0.4910353008705497,0.3762690050074667,0.8174638609396953,0.5406827312610616
14,0.374364032666429,0.8219977114786979,0.52868543884453,0.41030015307160567,0.8141511506563409,0.5064235487591063
15,0.3654026096995793,0.820023761806492,0.5391810986485229,0.36165210597189895,0.8206503347702142,0.536898754270193
16,0.36074812449602855,0.8276045520667997,0.5443966822796028,0.3631239547156834,0.8209010359361961,0.5323655907414692
